location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Villivakkam,2,2,4800,550,Individual,Resale,Type,Builder Floors,1,Furnished,Ready to Move,North,715000
K Nagar,2,2,1080,740,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5340967
Maraimalainagar,3,2,1150,1125,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,6798035
Anakaputhur,1,1,1200,690,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,5340967
Perungudi,2,2,980,710,Agent,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,North,5340967
Kodambakkam Rangarajapuram,3,3,1100,2003,Individual,New,New Construction,Builder Floors,0,Unfurnished,Ready to Move,East,6798035
K Nagar,2,2,1078,740,Individual,Resale,10 to 15 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5340967
neelankarai,4,4,3000,1400,Individual,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,28755605
Porur,2,2,966,646,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Porur,2,2,923,646,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Pooncheri,2,2,600,2869,Individual,New,New Construction,Builder Floors,2,Furnished,Ready to Move,North,3033039
Thalambur,6,4,4000,828,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,74180500
Kadambattur,2,2,174240,2040,Individual,New,Under Construction,Builder Floors,2,Semi-Furnished,Under Construction,North,43000000
Sriperumbudur,2,2,8045,640,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,74180500
Red Hills,1,1,1500,621,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,1734780
Poonamale High Road,2,2,8400,805,Individual,New,New Construction,Builder Floors,2,Unfurnished,Ready to Move,East,28221518
MGR Nagar,2,2,750,500,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3207974
Oragadam,3,2,2400,880,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,South,7200
East Coast Road,4,4,10500,1153,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,4826600
Manapakkam,1,1,355,871,Builder,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,West,1546064
Sriperumbudur,2,2,239580,595,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,South,43000000
Anakaputhur,1,2,600,596,Builder,New,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,2406982
Alwarpet,2,2,1500,392,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,13016328
Valasaravakkam,2,2,860,2135,Individual,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,North,5783338
Arakonam,2,2,1200,1100,Individual,Resale,5 to 10 years,Builder Floors,1,Unfurnished,Ready to Move,West,5340967
Sriperumbudur,2,2,7000,330,Individual,New,10 to 15 years,Builder Floors,2,Furnished,Ready to Move,North,37492000
Nanmangalam,2,2,1185,800,Builder,New,New Construction,Builder Floors,1,Furnished,Ready to Move,North,5340967
Marakkanam,2,2,261360,81500,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Ready to Move,North,43000000
Medavakkam,2,2,1200,1020,Individual,New,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,5340967
Porur,2,2,845,780,Individual,New,New Construction,Builder Floors,2,Semi-Furnished,Ready to Move,West,4421651
Ramapuram,2,2,1238,627,Builder,New,New Construction,Builder Floors,1,Semi-Furnished,Ready to Move,East,8005901
Kattupakkam,2,2,812,1000,Individual,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5783338
Mahabalipuram,2,3,10000,2040,Individual,Resale,0 to 5 years,Builder Floors,1,Furnished,Ready to Move,East,4826600
Oragadam,1,2,450,864,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,West,1546064
T Nagar,4,5,2605,760,Individual,New,0 to 5 years,Farm House,4,Semi-Furnished,Ready to Move,South East,480000
Kodambakkam,4,3,2255,1200,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,11605979
Avadi,2,2,700,600,Agent,New,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,East,3207974
East Coast Road,3,3,2184,640,Individual,Resale,Above 20 years,House & Villas,0,Unfurnished,Under Construction,East,13016328
Anna Nagar,6,6,9000,1200,Individual,Resale,15 to 20 years,House & Villas,0,Unfurnished,Ready to Move,North,59962200
Porur,2,3,900,1582,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Avadi,3,2,860,775,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North East,3492296
Padapai,2,1,675,1540,Builder,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,North,3207974
Mettupalayam,2,1,600,639,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,1974663
neelankarai,7,7,4300,1200,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,85000000
Singaperumal Koil,1,1,438,900,Builder,New,0 to 5 years,House & Villas,1,Semi-Furnished,Under Construction,North,1368843
Porur,2,3,900,2388,Individual,Resale,0 to 5 years,House & Villas,1,Semi-Furnished,Ready to Move,North,5340967
Avadi Ks Nagar,3,2,1150,480,Builder,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,6798035
Padapai,1,1,520,4200,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,1974663
Kolathur,3,3,2200,670,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,9168871
Kovur,2,2,750,985,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,3207974
Porur,2,2,1000,800,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,5340967
Thiruvanmiyur,4,4,2600,430,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,6470737
Pallavaram,2,2,750,4500,Individual,Resale,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,North,3207974
Porur,3,3,1400,680,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,8220926
Porur,2,2,750,814,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,3207974
